movieId,title,year,genres,(NO GENRES LISTED),ACTION,ADVENTURE,ANIMATION,CHILDREN,COMEDY,CRIME,DOCUMENTARY,DRAMA,FANTASY,FILM-NOIR,HORROR,IMAX,MUSICAL,MYSTERY,ROMANCE,SCI-FI,THRILLER,WAR,WESTERN
34,BABE (1995),1995,CHILDREN|DRAMA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
36,DEAD MAN WALKING (1995),1995,CRIME|DRAMA,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
38,IT TAKES TWO (1995),1995,CHILDREN|COMEDY,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,CLUELESS (1995),1995,COMEDY|ROMANCE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
40,"CRY, THE BELOVED COUNTRY (1995)",1995,DRAMA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
41,RICHARD III (1995),1995,DRAMA|WAR,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
42,DEAD PRESIDENTS (1995),1995,ACTION|CRIME|DRAMA,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
43,RESTORATION (1995),1995,DRAMA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
44,MORTAL KOMBAT (1995),1995,ACTION|ADVENTURE|FANTASY,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
45,TO DIE FOR (1995),1995,COMEDY|DRAMA|THRILLER,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
46,HOW TO MAKE AN AMERICAN QUILT (1995),1995,DRAMA|ROMANCE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
47,SEVEN (A.K.A. SE7EN) (1995),1995,MYSTERY|THRILLER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
48,POCAHONTAS (1995),1995,ANIMATION|CHILDREN|DRAMA|MUSICAL|ROMANCE,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
49,WHEN NIGHT IS FALLING (1995),1995,DRAMA|ROMANCE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
50,"USUAL SUSPECTS, THE (1995)",1995,CRIME|MYSTERY|THRILLER,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
52,MIGHTY APHRODITE (1995),1995,COMEDY|DRAMA|ROMANCE,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
53,LAMERICA (1994),1994,ADVENTURE|DRAMA,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
54,"BIG GREEN, THE (1995)",1995,CHILDREN|COMEDY,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,GEORGIA (1995),1995,DRAMA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
57,HOME FOR THE HOLIDAYS (1995),1995,DRAMA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
58,"POSTMAN, THE (POSTINO, IL) (1994)",1994,COMEDY|DRAMA|ROMANCE,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
60,"INDIAN IN THE CUPBOARD, THE (1995)",1995,ADVENTURE|CHILDREN|FANTASY,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
61,EYE FOR AN EYE (1996),1996,DRAMA|THRILLER,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
62,MR. HOLLAND'S OPUS (1995),1995,DRAMA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
63,DON'T BE A MENACE TO SOUTH CENTRAL WHILE DRINKING YOUR JUICE IN THE HOOD (1996),1996,COMEDY|CRIME,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
64,TWO IF BY SEA (1996),1996,COMEDY|ROMANCE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
65,BIO-DOME (1996),1996,COMEDY,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,LAWNMOWER MAN 2: BEYOND CYBERSPACE (1996),1996,ACTION|SCI-FI|THRILLER,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
68,FRENCH TWIST (GAZON MAUDIT) (1995),1995,COMEDY|ROMANCE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
69,FRIDAY (1995),1995,COMEDY,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,FROM DUSK TILL DAWN (1996),1996,ACTION|COMEDY|HORROR|THRILLER,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
71,FAIR GAME (1995),1995,ACTION,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,KICKING AND SCREAMING (1995),1995,COMEDY|DRAMA,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
73,"MISÉRABLES, LES (1995)",1995,DRAMA|WAR,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
74,BED OF ROSES (1996),1996,DRAMA|ROMANCE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
75,BIG BULLY (1996),1996,COMEDY|DRAMA,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
76,SCREAMERS (1995),1995,ACTION|SCI-FI|THRILLER,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
77,NICO ICON (1995),1995,DOCUMENTARY,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
78,"CROSSING GUARD, THE (1995)",1995,ACTION|CRIME|DRAMA|THRILLER,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
79,"JUROR, THE (1996)",1996,DRAMA|THRILLER,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
80,"WHITE BALLOON, THE (BADKONAKE SEFID) (1995)",1995,CHILDREN|DRAMA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
81,THINGS TO DO IN DENVER WHEN YOU'RE DEAD (1995),1995,CRIME|DRAMA|ROMANCE,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
82,ANTONIA'S LINE (ANTONIA) (1995),1995,COMEDY|DRAMA,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
83,ONCE UPON A TIME... WHEN WE WERE COLORED (1995),1995,DRAMA|ROMANCE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
85,ANGELS AND INSECTS (1995),1995,DRAMA|ROMANCE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
86,WHITE SQUALL (1996),1996,ACTION|ADVENTURE|DRAMA,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
87,DUNSTON CHECKS IN (1996),1996,CHILDREN|COMEDY,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,BLACK SHEEP (1996),1996,COMEDY,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,NICK OF TIME (1995),1995,ACTION|THRILLER,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
92,MARY REILLY (1996),1996,DRAMA|HORROR|THRILLER,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
93,VAMPIRE IN BROOKLYN (1995),1995,COMEDY|HORROR|ROMANCE,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
94,BEAUTIFUL GIRLS (1996),1996,COMEDY|DRAMA|ROMANCE,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
95,BROKEN ARROW (1996),1996,ACTION|ADVENTURE|THRILLER,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
96,IN THE BLEAK MIDWINTER (1995),1995,COMEDY|DRAMA,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
97,"HATE (HAINE, LA) (1995)",1995,CRIME|DRAMA,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
99,HEIDI FLEISS: HOLLYWOOD MADAM (1995),1995,DOCUMENTARY,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
100,CITY HALL (1996),1996,DRAMA|THRILLER,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
101,BOTTLE ROCKET (1996),1996,ADVENTURE|COMEDY|CRIME|ROMANCE,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
102,MR. WRONG (1996),1996,COMEDY,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,UNFORGETTABLE (1996),1996,MYSTERY|SCI-FI|THRILLER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
104,HAPPY GILMORE (1996),1996,COMEDY,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,"BRIDGES OF MADISON COUNTY, THE (1995)",1995,DRAMA|ROMANCE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
106,NOBODY LOVES ME (KEINER LIEBT MICH) (1994),1994,COMEDY|DRAMA,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
107,MUPPET TREASURE ISLAND (1996),1996,ADVENTURE|CHILDREN|COMEDY|MUSICAL,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
108,CATWALK (1996),1996,DOCUMENTARY,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
110,BRAVEHEART (1995),1995,ACTION|DRAMA|WAR,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
111,TAXI DRIVER (1976),1976,CRIME|DRAMA|THRILLER,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
112,RUMBLE IN THE BRONX (HONT FAAN KUI) (1995),1995,ACTION|ADVENTURE|COMEDY|CRIME,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
113,BEFORE AND AFTER (1996),1996,DRAMA|MYSTERY,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
116,ANNE FRANK REMEMBERED (1995),1995,DOCUMENTARY,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
117,"YOUNG POISONER'S HANDBOOK, THE (1995)",1995,CRIME|DRAMA,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
118,IF LUCY FELL (1996),1996,COMEDY|ROMANCE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
119,"STEAL BIG, STEAL LITTLE (1995)",1995,COMEDY,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,"BOYS OF ST. VINCENT, THE (1992)",1992,DRAMA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
122,BOOMERANG (1992),1992,COMEDY|ROMANCE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
123,CHUNGKING EXPRESS (CHUNG HING SAM LAM) (1994),1994,DRAMA|MYSTERY|ROMANCE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
125,FLIRTING WITH DISASTER (1996),1996,COMEDY,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,"NEVERENDING STORY III, THE (1994)",1994,ADVENTURE|CHILDREN|FANTASY,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
128,JUPITER'S WIFE (1994),1994,DOCUMENTARY,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
129,PIE IN THE SKY (1996),1996,COMEDY|ROMANCE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
132,JADE (1995),1995,THRILLER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
135,DOWN PERISCOPE (1996),1996,COMEDY,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,MAN OF THE YEAR (1995),1995,DOCUMENTARY,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
140,UP CLOSE AND PERSONAL (1996),1996,DRAMA|ROMANCE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
141,"BIRDCAGE, THE (1996)",1996,COMEDY,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,"BROTHERS MCMULLEN, THE (1995)",1995,COMEDY,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,BAD BOYS (1995),1995,ACTION|COMEDY|CRIME|DRAMA|THRILLER,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
146,"AMAZING PANDA ADVENTURE, THE (1995)",1995,ADVENTURE|CHILDREN,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,"BASKETBALL DIARIES, THE (1995)",1995,DRAMA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
148,"AWFULLY BIG ADVENTURE, AN (1995)",1995,DRAMA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
149,AMATEUR (1994),1994,CRIME|DRAMA|THRILLER,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
150,APOLLO 13 (1995),1995,ADVENTURE|DRAMA|IMAX,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
151,ROB ROY (1995),1995,ACTION|DRAMA|ROMANCE|WAR,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
152,"ADDICTION, THE (1995)",1995,DRAMA|HORROR,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
153,BATMAN FOREVER (1995),1995,ACTION|ADVENTURE|COMEDY|CRIME,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
154,BEAUTY OF THE DAY (BELLE DE JOUR) (1967),1967,DRAMA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
155,BEYOND RANGOON (1995),1995,ADVENTURE|DRAMA|WAR,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
156,BLUE IN THE FACE (1995),1995,COMEDY|DRAMA,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
157,CANADIAN BACON (1995),1995,COMEDY|WAR,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
158,CASPER (1995),1995,ADVENTURE|CHILDREN,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,CLOCKERS (1995),1995,CRIME|DRAMA|MYSTERY,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
160,CONGO (1995),1995,ACTION|ADVENTURE|MYSTERY|SCI-FI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
161,CRIMSON TIDE (1995),1995,DRAMA|THRILLER|WAR,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
162,CRUMB (1994),1994,DOCUMENTARY,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
163,DESPERADO (1995),1995,ACTION|ROMANCE|WESTERN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
164,DEVIL IN A BLUE DRESS (1995),1995,CRIME|FILM-NOIR|MYSTERY|THRILLER,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
165,DIE HARD: WITH A VENGEANCE (1995),1995,ACTION|CRIME|THRILLER,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
166,"DOOM GENERATION, THE (1995)",1995,COMEDY|CRIME|DRAMA,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
168,FIRST KNIGHT (1995),1995,ACTION|DRAMA|ROMANCE,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
169,FREE WILLY 2: THE ADVENTURE HOME (1995),1995,ADVENTURE|CHILDREN|DRAMA,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
170,HACKERS (1995),1995,ACTION|ADVENTURE|CRIME|THRILLER,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
171,JEFFREY (1995),1995,COMEDY|DRAMA,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
172,JOHNNY MNEMONIC (1995),1995,ACTION|SCI-FI|THRILLER,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
173,JUDGE DREDD (1995),1995,ACTION|CRIME|SCI-FI,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
174,JURY DUTY (1995),1995,COMEDY,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,KIDS (1995),1995,DRAMA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
176,LIVING IN OBLIVION (1995),1995,COMEDY,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,LORD OF ILLUSIONS (1995),1995,HORROR,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
178,LOVE & HUMAN REMAINS (1993),1993,COMEDY|DRAMA,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
179,MAD LOVE (1995),1995,DRAMA|ROMANCE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
180,MALLRATS (1995),1995,COMEDY|ROMANCE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
181,MIGHTY MORPHIN POWER RANGERS: THE MOVIE (1995),1995,ACTION|CHILDREN,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,MUTE WITNESS (1994),1994,COMEDY|HORROR|THRILLER,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
184,NADJA (1994),1994,DRAMA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
185,"NET, THE (1995)",1995,ACTION|CRIME|THRILLER,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
186,NINE MONTHS (1995),1995,COMEDY|ROMANCE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
187,PARTY GIRL (1995),1995,COMEDY,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,"PROPHECY, THE (1995)",1995,FANTASY|HORROR|MYSTERY,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
189,RECKLESS (1995),1995,COMEDY|FANTASY,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
190,SAFE (1995),1995,THRILLER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
191,"SCARLET LETTER, THE (1995)",1995,DRAMA|ROMANCE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
193,SHOWGIRLS (1995),1995,DRAMA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
194,SMOKE (1995),1995,COMEDY|DRAMA,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
195,SOMETHING TO TALK ABOUT (1995),1995,COMEDY|DRAMA|ROMANCE,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
196,SPECIES (1995),1995,HORROR|SCI-FI,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
198,STRANGE DAYS (1995),1995,ACTION|CRIME|DRAMA|MYSTERY|SCI-FI|THRILLER,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0
199,"UMBRELLAS OF CHERBOURG, THE (PARAPLUIES DE CHERBOURG, LES) (1964)",1964,DRAMA|MUSICAL|ROMANCE,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
201,THREE WISHES (1995),1995,DRAMA|FANTASY,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
202,TOTAL ECLIPSE (1995),1995,DRAMA|ROMANCE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
203,"TO WONG FOO, THANKS FOR EVERYTHING! JULIE NEWMAR (1995)",1995,COMEDY,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,UNDER SIEGE 2: DARK TERRITORY (1995),1995,ACTION,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,UNSTRUNG HEROES (1995),1995,COMEDY|DRAMA,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
206,UNZIPPED (1995),1995,DOCUMENTARY,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
207,"WALK IN THE CLOUDS, A (1995)",1995,DRAMA|ROMANCE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
208,WATERWORLD (1995),1995,ACTION|ADVENTURE|SCI-FI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
209,WHITE MAN'S BURDEN (1995),1995,DRAMA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
210,WILD BILL (1995),1995,WESTERN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
211,"BROWNING VERSION, THE (1994)",1994,DRAMA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
212,BUSHWHACKED (1995),1995,ADVENTURE|COMEDY|CRIME|MYSTERY,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
